id,last_click,last_url,input_text,cover_text,selected_image,time_stamp
3703,"Ad for Your Town,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-10 14:08:13.565000+00:00
3704,"Kearah Donato preference value button,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/",blank,,blank,,2014-12-10 14:08:30.054000+00:00
3705,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/New_River_Valley/?prefN0=Artists&prefV0=KearahSPACEDonato",blank,,blank,,2014-12-10 14:08:33.108000+00:00
3706,"Ad for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-10 14:08:36.353000+00:00
3707,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,,blank,,2014-12-10 14:11:22.594000+00:00
3708,"Ad for New Additions,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-10 14:11:44.675000+00:00
3709,"Jerry Rendich preference value button,URL=http://127.0.0.1:8000/kiosk/New_Additions/",blank,,blank,,2014-12-10 14:12:51.569000+00:00
3710,"Ashley Lucas preference value button,URL=http://127.0.0.1:8000/kiosk/New_Additions/?prefN0=Artists&prefV0=JerrySPACERendich",blank,,blank,,2014-12-10 14:12:57.835000+00:00
3711,"Alexis Rawlins preference value button,URL=http://127.0.0.1:8000/kiosk/New_Additions/?prefN0=Artists&prefV0=AshleySPACELucasANDANDJerrySPACERendich",blank,,blank,,2014-12-10 14:13:06.277000+00:00
3712,"Local artists preference value button,URL=http://127.0.0.1:8000/kiosk/New_Additions/?prefN0=Artists&prefV0=AlexisSPACERawlinsANDANDAshleySPACELucasANDANDJerrySPACERendich",blank,,blank,,2014-12-10 14:13:44.608000+00:00
3713,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/New_Additions/?prefN0=Artists&prefV0=AlexisSPACERawlinsANDANDAshleySPACELucasANDANDJerrySPACERendich&prefN1=Local&prefV1=24060",blank,,blank,,2014-12-10 14:13:47.226000+00:00
3714,"Shop Collections button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-10 14:13:53.978000+00:00
3715,"Subcategory Angels,_Fairies,_ANDSIGN_Mermaids button,URL=http://127.0.0.1:8000/kiosk/",blank,,blank,,2014-12-10 14:14:00.089000+00:00
3716,"Back button to start screen,URL=http://127.0.0.1:8000/kiosk/Angels,_Fairies,_ANDSIGN_Mermaids/",blank,,blank,,2014-12-10 14:14:21.704000+00:00
